job_number,prop_stories,occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,u_net_comp,u_net_inc,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,latitude,longitude,x_inactive,hny_id,reason,extra
321187586,,,,,,,,,,,,,,,,,,,,,,3044520245,,,,,,change BBL,
321187595,,,,,,,,,,,,,,,,,,,,,,3044520244,,,,,,change BBL,
321187611,,,,,,,,,,,,,,,,,,,,,,3044520243,,,,,,change BBL,
321187620,,,,,,,,,,,,,,,,,,,,,,3044520242,,,,,,change BBL,
321187639,,,,,,,,,,,,,,,,,,,,,,3044520241,,,,,,change BBL,
321187648,,,,,,,,,,,,,,,,,,,,,,3044520240,,,,,,change BBL,
321187657,,,,,,,,,,,,,,,,,,,,,,3044520256,,,,,,change BBL,
321187666,,,,,,,,,,,,,,,,,,,,,,3044520257,,,,,,change BBL,
321187675,,,,,,,,,,,,,,,,,,,,,,3044520259,,,,,,change BBL,
321187684,,,,,,,,,,,,,,,,,,,,,,3044520260,,,,,,change BBL,
321187693,,,,,,,,,,,,,,,,,,,,,,3044520253,,,,,,change BBL,
321187700,,,,,,,,,,,,,,,,,,,,,,3044520254,,,,,,change BBL,
321187719,,,,,,,,,,,,,,,,,,,,,,3044520258,,,,,,change BBL,
321187755,,,,,,,,,,,,,,,,,,,,,,3044520462,,,,,,change BBL,
321187764,,,,,,,,,,,,,,,,,,,,,,3044520461,,,,,,change BBL,
321187773,,,,,,,,,,,,,,,,,,,,,,3044520459,,,,,,change BBL,
321187782,,,,,,,,,,,,,,,,,,,,,,3044520458,,,,,,change BBL,
321187791,,,,,,,,,,,,,,,,,,,,,,3044520457,,,,,,change BBL,
321187808,,,,,,,,,,,,,,,,,,,,,,3044520456,,,,,,change BBL,
321187817,,,,,,,,,,,,,,,,,,,,,,3044520407,,,,,,change BBL,
321187826,,,,,,,,,,,,,,,,,,,,,,3044520408,,,,,,change BBL,
321187835,,,,,,,,,,,,,,,,,,,,,,3044520410,,,,,,change BBL,
321187844,,,,,,,,,,,,,,,,,,,,,,3044520409,,,,,,change BBL,
321187862,,,,,,,,,,,,,,,,,,,,,,3044520411,,,,,,change BBL,
321187871,,,,,,,,,,,,,,,,,,,,,,3044520413,,,,,,change BBL,
321187880,,,,,,,,,,,,,,,,,,,,,,3044520455,,,,,,change BBL,
321187899,,,,,,,,,,,,,,,,,,,,,,3044520412,,,,,,change BBL,
321187906,,,,,,,,,,,,,,,,,,,,,,3044520414,,,,,,change BBL,
321187915,,,,,,,,,,,,,,,,,,,,,,3044520454,,,,,,change BBL,
321187924,,,,,,,,,,,,,,,,,,,,,,3044520453,,,,,,change BBL,
321187933,,,,,,,,,,,,,,,,,,,,,,3044520452,,,,,,change BBL,
321187951,,,,,,,,,,,,,,,,,,,,,,3044520406,,,,,,change BBL,
321187960,,,,,,,,,,,,,,,,,,,,,,3044520415,,,,,,change BBL,
321187979,,,,,,,,,,,,,,,,,,,,,,3044520416,,,,,,change BBL,
321187988,,,,,,,,,,,,,,,,,,,,,,3044520391,,,,,,change BBL,
321188111,,,,,,,,,,,,,,,,,,,,,,3044520157,,,,,,change BBL,
321188120,,,,,,,,,,,,,,,,,,,,,,3044520225,,,,,,change BBL,
321188139,,,,,,,,,,,,,,,,,,,,,,3044520161,,,,,,change BBL,
321188148,,,,,,,,,,,,,,,,,,,,,,3044520160,,,,,,change BBL,
321188219,,,,,,,,,,,,,,,,,,,,,,3044520155,,,,,,change BBL,
321188255,,,,,,,,,,,,,,,,,,,,,,3044520224,,,,,,change BBL,
321188264,,,,,,,,,,,,,,,,,,,,,,3044520417,,,,,,change BBL,
321188291,,,,,,,,,,,,,,,,,,,,,,3044520159,,,,,,change BBL,
321188433,,,,,,,,,,,,,,,,,,,,,,3044520158,,,,,,change BBL,
321188451,,,,,,,,,,,,,,,,,,,,,,3044520156,,,,,,change BBL,
321189584,,,,,,,,,,,,,,,,,,,,,,3002820050,,,,,,change BBL,
321196022,,,,,,,,,,,,,,,,,,,,,,3044520246,,,,,,change BBL,
321196031,,,,,,,,,,,,,,,,,,,,,,3044520255,,,,,,change BBL,
321196040,,,,,,,,,,,,,,,,,,,,,,3044520208,,,,,,change BBL,
321196059,,,,,,,,,,,,,,,,,,,,,,3044520248,,,,,,change BBL,
321197977,,,,,,,,,,,,,,,,,,,,,,3044520223,,,,,,change BBL,
321359178,,,,,,,,,,,,,,,,,,,,,,3071070121,,,,,,change BBL,
321391873,,,,,,,,,,,,,,,,,,,,,,3087970047,,,,,,change BBL,
321636431,,,,,,,,,,,,,,,,,,,,,,3087970047,,,,,,change BBL,
402147002,,,,,,,,,,,,,,,,,,,,,,4156090067,,,,,,change BBL,
410231725,,,,,,,,,,,,,,,,,,,,,,4159050210,,,,,,change BBL,
410231734,,,,,,,,,,,,,,,,,,,,,,4159050214,,,,,,change BBL,
410231850,,,,,,,,,,,,,,,,,,,,,,4159050212,,,,,,change BBL,
410231869,,,,,,,,,,,,,,,,,,,,,,4159050236,,,,,,change BBL,
410234205,,,,,,,,,,,,,,,,,,,,,,4159050211,,,,,,change BBL,
420032066,,,,,,,,,,,,,,,,,,,,,,4159050213,,,,,,change BBL,
420032119,,,,,,,,,,,,,,,,,,,,,,4159050235,,,,,,change BBL,
420032137,,,,,,,,,,,,,,,,,,,,,,4159050238,,,,,,change BBL,
420032146,,,,,,,,,,,,,,,,,,,,,,4159050239,,,,,,change BBL,
420032155,,,,,,,,,,,,,,,,,,,,,,4159050240,,,,,,change BBL,
420032191,,,,,,,,,,,,,,,,,,,,,,4159050250,,,,,,change BBL,
420032379,,,,,,,,,,,,,,,,,,,,,,4159050241,,,,,,change BBL,
420032459,,,,,,,,,,,,,,,,,,,,,,4159050277,,,,,,change BBL,
420044847,,,,,,,,,,,,,,,,,,,,,,4159050237,,,,,,change BBL,
420259954,,,,,,,,,,,,,,,,,,,,,,4124580160,,,,,,change BBL,
420259963,,,,,,,,,,,,,,,,,,,,,,4124580164,,,,,,change BBL,
420259972,,,,,,,,,,,,,,,,,,,,,,4124580162,,,,,,change BBL,
420300766,,,,,,,,,,,,,,,,,,,,,,4124580161,,,,,,change BBL,
420347841,,,,,,,,,,,,,,,,,,,,,,4080660001,,,,,,change BBL,
420509747,,,,,,,,,,,,,,,,,,,,,,4017670048,,,,,,change BBL,
420548740,,,,,,,,,,,,,,,,,,,,,,4155810012,,,,,,change BBL,
420606632,,,,,,,,,,,,,,,,,,,,,,4044410060,,,,,,change BBL,
420653796,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
420653894,,,,,,,,,,,,,,,,,,,,,,4142401306,,,,,,change BBL,
420659727,,,,,,,,,,,,,,,,,,,,,,4154820028,,,,,,change BBL,
420821230,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
420821301,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
420832442,,,,,,,,,,,,,,,,,,,,,,4044410060,,,,,,change BBL,
420851929,,,,,,,,,,,,,,,,,,,,,,4100070008,,,,,,change BBL,
420906568,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
420910401,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
420981762,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421012371,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421022994,,,,,,,,,,,,,,,,,,,,,,4128870129,,,,,,change BBL,
421023001,,,,,,,,,,,,,,,,,,,,,,4128870129,,,,,,change BBL,
421023252,,,,,,,,,,,,,,,,,,,,,,4128870129,,,,,,change BBL,
421023261,,,,,,,,,,,,,,,,,,,,,,4128870129,,,,,,change BBL,
421023840,,,,,,,,,,,,,,,,,,,,,,4128870129,,,,,,change BBL,
421049840,,,,,,,,,,,,,,,,,,,,,,4133510102,,,,,,change BBL,
421050720,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421064314,,,,,,,,,,,,,,,,,,,,,,4133510100,,,,,,change BBL,
421064494,,,,,,,,,,,,,,,,,,,,,,4133510102,,,,,,change BBL,
421070860,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421161469,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421214386,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421219443,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421219452,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421219997,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421222457,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421234088,,,,,,,,,,,,,,,,,,,,,,4100060005,,,,,,change BBL,
421256447,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421256508,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421256517,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421256544,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421262038,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421262216,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421262289,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421266427,,,,,,,,,,,,,,,,,,,,,,4045090011,,,,,,change BBL,
421266436,,,,,,,,,,,,,,,,,,,,,,4045090001,,,,,,change BBL,
421305661,,,,,,,,,,,,,,,,,,,,,,4159390106,,,,,,change BBL,
421372464,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421372473,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421385502,,,,,,,,,,,,,,,,,,,,,,4016790010,,,,,,change BBL,
421388475,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421390051,,,,,,,,,,,,,,,,,,,,,,4142481414,,,,,,change BBL,
421415043,,,,,,,,,,,,,,,,,,,,,,4158030036,,,,,,change BBL,
421415052,,,,,,,,,,,,,,,,,,,,,,4158030037,,,,,,change BBL,
421482513,,,,,,,,,,,,,,,,,,,,,,4163400050,,,,,,change BBL,
421525442,,,,,,,,,,,,,,,,,,,,,,4102260076,,,,,,change BBL,
421525451,,,,,,,,,,,,,,,,,,,,,,4102260072,,,,,,change BBL,
421542799,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542806,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542815,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542824,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542833,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542842,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542851,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542860,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542879,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542888,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542897,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542904,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542913,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542922,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542931,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542940,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542959,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542968,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542977,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421542986,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543011,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543020,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543039,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
